id,city,price,tire_type,tire_width,height_ratio,wheel_diameter,new_car_price,turbo,finish_level,number_of_doors,number_of_seats,avrage_fuel_consumption,avrage_fuel_consumption_city,avrage_fuel_consumption_highway,fuel_type,gearbox,horsepower,max_speed,max_torque,number_of_cylinders,number_of_gears,rounds_per_minute_for_max_power,rounds_per_minute_for_max_torque,zero_to_100_km_in_seconds,automatic_high_beam,dead_vehicle_monitoring_system,independent_emergency_break,abs,turn_tracking_headlights,cancel_airbag,isofix,lane_departure_warning_system,number_of_airbags,seat_belt_warning_system,airpressure_sensors,road_sign_recognition,trunk_volume_in_liters,trunk_volume_in_seat_folding,front_seat_headroom_in_cm,rear_seat_headroom_in_cm,height_in_cm,front_seat_waist_in_cm,rear_seat_waist_in_cm,front_legroom_in_cm,rear_legroom_in_cm,length_in_cm,front_seat_shoulder_in_cm,rear_seat_shoulder_in_cm,width_in_cm,full_tank_volume_in_liters,minimal_weight_in_kg,maximal_weight_in_kg,wheelbase_in_cm,subwoofer,bluetooth,rear_control_air_conditioning,air_conditioning,number_of_air_conditioning_locations,cruise_control,driver_heated_seat,fog_lights,head_light,heated_front_passenger_seat,electric_windows,rain_sensors,heated_rear_passenger_seat,roof_window,dark_windows,hoops,carName,year,engine,current_km,hand,color,original_ownership,next_test,annual_licensing_fee
1,0,47900,R,195,65,15,68145,0,SUN,4,5,17.9,21.7,13.7,בנזין,1,132,190,1568,4,6.06779661016949,6400,4400,11.1,0,0,1,1,0,1,1,0,7,1,1,0,452,1350.40191804708,98.7101224489796,95.1877685950413,146.5,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,462,141.245632973503,138.14139626352,177.5,50,1290,1903.18990889979,270,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,2,0,2014,1598,140000,2,0,2,1,1424
3,1,66000,R,205,55,16,109095,1,INTENSE,5,5,17.2,21.3,13.2,בנזין,1,132,190,2009,4,6,5500,2000,10,0,0,1,1,0,1,1,1,6,1,1,1,524,1600,89,88.4,153.4,147.5,143.6,105.240853658537,90.8045212765958,456.7,141.8,137.9,180.4,60,1351,1878,270.3,0,1,0,1,2,0,0,1,הלוגן,0,4,1,0,0,1,1,1,2018,1197,127000,1,0,2,1,1604
4,2,29900,R,195,65,15,37000,0,ACTIVE,4,5,13,16.1,9.6,בנזין,1,105,177,1421,4,4,6000,4000,13.1,0,0,1,1,0,1,1,0,6.25310899780541,0,0,0,430,1350.40191804708,98.7,95.3,147,139.755389908257,136.878071182549,106.8,91.9,458,139.5,137.1,175.5,55,1277,1903.18990889979,264,0,0,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,2,2,2010,1598,163000,2,1,2,11,1262
6,3,71000,R,175,65,14,97000,0,LX,5,5,17.2,18.2,15.4,בנזין,1,84,189.119543317663,1195.6,4,4,6000,4000,10.783321799308,0,0,1,1,0,1,1,1,7,1,1,1,255,1010,100.5,96,148.5,124.5,123,108.5,82,359.5,130,128,159.5,35,959,1400,240,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,0,2,3,2020,1248,12000,1,2,1,9,1235
7,0,115000,R,215,70,16,139545,0,PRIME PLUS,5,5,12.7,16.4,9.2,בנזין,1,155,181,1881.6,4,6,6200,4000,11.1,0,0,1,1,0,1,1,1,6,1,1,1,488,1478,100.5,99.5,165,141.3,138.4,105.3,97,447.5,145,141,185,62,1450,2060,267,0,1,0,0,1.830078125,0,0,1,הלוגן,0,4,0,0,0,1,1,4,2018,1999,85000,1,1,1,2,1835
9,0,92000,R,215,70,16,139545,0,URBAN,5,5,13.7,16.9,10.3,בנזין,1,132,182,1577.8,4,6,6300,4850,11.5,1,0,1,1,0,1,1,1,6,1,1,0,466,1455,99.7,99.3,164.5,138,130,112.9,97,448,145,140,185.5,62,1480,2050,267,0,1,0,0,1.830078125,0,0,1,הלוגן,0,4,0,0,0,1,1,5,2017,1591,135000,1,1,1,4,1604
10,4,68000,R,225,55,17,87000,0,LUXURY,4,5,16.9,20,13.3,בנזין,1,165,209,2058,4,6,6000,4000,10.5,0,0,1,1,0,1,1,0,6,1,1,0,438,1350.40191804708,97.5,94.2,145,139.755389908257,136.878071182549,107.3,98.4,487,145,141,184,62,1490,1903.18990889979,283,0,1,0,1,2,0,0,1,הלוגן,0,4,1,0,0,1,1,6,2015,1998,90000,2,3,2,3,1693
11,5,149000,R,225,55,19,170000,1,TEKNA,5,7,15.6,17.2,13.5,דיזל,1,150,190,3136,4,6.06779661016949,4600,1750,12.7,1,0,1,1,1,1,1,1,6,1,1,1,135,1996,98.7101224489796,95.1877685950413,173,139.755389908257,136.878071182549,105.240853658537,90.8045212765958,469,141.245632973503,138.14139626352,183,60,1875,2400,270.5,0,1,0,1,2,0,1,1,לד,1,4,1,1,1,0,1,7,2019,1749,63000,1,0,1,9,2417
12,6,26000,R,175,70,14,34400,0,INSTYLE,5,5,16.7,20.8,12.3,בנזין,1,100,172,1342.6,4,4,5500,4200,12.9,0,0,1,1,0,1,1,0,6.25310899780541,0,0,0,295,1060,100.5,97,149,129.5,128.2,107.4,90.8045212765958,399.5,135,134,171,45,1063,1565,252.5,0,0,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,1,2,8,2012,1396,155000,2,1,1,5,1205
13,7,70000,R,175,65,14,78645,0,LX,5,5,18.5,22.2,14.3,בנזין,1,84,161,1195.6,4,4,6000,4000,13.7,0,0,1,1,0,1,1,1,7,1,1,1,255,1010,100.5,96,148.5,124.5,123,108.5,82,359.5,130,128.1,159.5,35,959,1400,240,0,1,0,0,1.830078125,0,0,0,הלוגן,0,4,0,0,0,0,2,3,2019,1248,17000,1,4,1,1,1235
